City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,busselton,-33.65,115.3333,26.3,47,0,7.24,AU,1673507508
84,klaksvik,62.2266,-6.589,2.51,82,100,7.44,FO,1673507509
85,dudinka,69.4058,86.1778,-30.84,97,100,4.91,RU,1673507509
86,komsomolskiy,40.4272,71.7189,-10.6,67,40,1.03,UZ,1673507509
87,almaznyy,48.0448,40.045,-8.5,90,100,7.98,RU,1673507510
88,tuensang,26.2833,94.8333,21.68,35,13,1.35,IN,1673507510
89,cape town,-33.9258,18.4232,22.84,80,40,6.69,ZA,1673507232
90,asau,46.4333,26.4,-2.49,90,100,0.75,RO,1673507511
91,cherskiy,68.75,161.3,-32.48,98,100,0.81,RU,1673507511
92,saint-philippe,-21.3585,55.7679,29.77,78,69,6.01,RE,1673507512
93,kawalu,-7.3817,108.2082,28.29,65,100,2.59,ID,1673507512
94,kabanjahe,3.1001,98.4908,22.22,79,99,0.42,ID,1673507512
95,astaneh-ye ashrafiyeh,37.2596,49.9444,4.96,90,100,0.84,IR,1673507513
96,nokaneng,-19.6667,22.2667,27.26,28,30,5.4,BW,1673507513
97,puerto del rosario,28.5004,-13.8627,19.86,73,40,9.77,ES,1673507514
98,mareeba,-17.0,145.4333,27.47,75,68,3.71,AU,1673507514
99,catamarca,-28.4696,-65.7852,24.48,69,1,3.37,AR,1673507514
100,inuvik,68.3499,-133.7218,-22.58,77,100,3.6,CA,1673507515
101,batalha,-9.6778,-37.1247,22.54,83,77,2.23,BR,1673507515
102,khatanga,71.9667,102.5,-41.9,100,100,2.13,RU,1673507515
103,hirtshals,57.5881,9.9592,5.46,93,33,7.59,DK,1673507515
104,avera,33.194,-82.5271,15.03,84,100,4.18,US,1673507516
105,svetlaya,46.5389,138.3297,-0.34,77,5,2.39,RU,1673507516
106,narsaq,60.9167,-46.05,-11.24,71,100,2.56,GL,1673507517
107,carnarvon,-24.8667,113.6333,26.57,59,0,8.79,AU,1673507517
108,tuktoyaktuk,69.4541,-133.0374,-26.63,93,100,4.25,CA,1673507518
109,iquitos,-3.7481,-73.2472,24.02,88,100,1.03,PE,1673507518
110,drensteinfurt,51.7953,7.7382,8.88,87,100,12.14,DE,1673507518
111,tecolutla,20.4833,-97.0167,21.25,91,10,2.09,MX,1673507519
112,clyde river,70.4692,-68.5914,-13.87,66,100,8.75,CA,1673507520
113,thunder bay,48.4001,-89.3168,-6.44,96,96,2.22,CA,1673507520
114,kattivakkam,13.2167,80.3167,29.05,58,12,3.96,IN,1673507521
115,beaver dam,43.4578,-88.8373,1.51,66,100,2.06,US,1673507522
116,wanaka,-44.7,169.15,21.73,47,6,4.02,NZ,1673507420
117,carinhanha,-14.3047,-43.765,20.67,95,100,0.54,BR,1673507522
118,trincomalee,8.5711,81.2335,25.68,63,33,4.99,LK,1673507407
119,jurm,36.8648,70.8342,-11.23,90,100,2.09,AF,1673507523
120,baft,29.234,56.6057,1.47,39,0,1.99,IR,1673507523
121,stephenville,32.2207,-98.2023,17.53,18,0,5.81,US,1673507524
122,port alfred,-33.5906,26.891,24.54,89,98,1.79,ZA,1673507525
123,kahului,20.8947,-156.47,22.69,75,40,6.17,US,1673507525
124,nanortalik,60.1432,-45.2371,-3.37,94,100,2.05,GL,1673507525
125,darhan,49.4867,105.9228,-18.47,74,100,6.44,MN,1673507526
126,meulaboh,4.1363,96.1285,28.41,70,100,3.04,ID,1673507526
127,bredasdorp,-34.5322,20.0403,24.71,71,100,1.82,ZA,1673507526
128,bentiu,9.2333,29.8333,26.03,16,10,4.17,SS,1673507527
129,payo,-3.7508,103.6372,32.91,51,54,1.37,ID,1673507528
130,broken hill,-31.95,141.4333,34.66,16,99,2.29,AU,1673507275
131,san patricio,28.017,-97.5169,21.02,91,0,3.32,US,1673507529
132,fairbanks,64.8378,-147.7164,-18.02,81,20,2.57,US,1673507529
133,sinnamary,5.3833,-52.95,23.85,90,96,3.86,GF,1673507529
134,hithadhoo,-0.6,73.0833,26.54,77,23,4.69,MV,1673507530
135,byron bay,-28.65,153.6167,25.95,68,0,4.22,AU,1673507530
