City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,ust-ordynskiy,52.805,104.7508,-11.26,89,100,1.85,RU,1673060803
332,tortoli,39.9256,9.6572,11.75,73,20,1.85,IT,1673060804
333,alice springs,-23.7,133.8833,26.75,36,40,5.14,AU,1673060804
334,baykit,61.67,96.37,-18.59,100,100,0.81,RU,1673060805
335,arcos,-20.2819,-45.5394,18.93,96,100,3.61,BR,1673060806
336,filingue,14.3521,3.3168,19.84,22,19,4.55,NE,1673060806
337,cehegin,38.0924,-1.7985,6.77,69,0,1.34,ES,1673060807
338,minab,27.1467,57.0801,17.72,87,84,1.73,IR,1673060807
339,poum,-20.2333,164.0167,27.88,84,89,10.21,NC,1673060808
340,cabo san lucas,22.8909,-109.9124,21.95,81,0,0.0,MX,1673060793
341,corrente,-3.7367,-43.3394,22.88,94,100,0.79,BR,1673060809
342,mnogovershinnyy,53.9353,139.9242,-18.82,82,18,2.08,RU,1673060810
343,mattru,7.6244,-11.8332,20.99,96,2,1.14,SL,1673060810
344,osoyoos,49.0331,-119.4524,3.27,99,100,1.46,CA,1673060811
345,sombrerete,23.6333,-103.65,11.2,33,9,2.34,MX,1673060811
346,georgetown,5.4112,100.3354,28.96,65,20,4.12,MY,1673060812
347,wairoa,-39.0333,177.3667,19.75,92,100,0.89,NZ,1673060813
348,benguela,-12.5763,13.4055,24.27,81,100,0.57,AO,1673060813
349,yueyang,29.3333,113.0919,15.72,35,0,3.54,CN,1673060518
350,terney,45.0503,136.6092,-6.61,52,9,1.22,RU,1673060814
351,hofn,64.2539,-15.2082,-0.76,69,100,7.04,IS,1673060814
352,khudumelapye,-23.8833,24.75,17.52,47,21,3.98,BW,1673060815
353,davidson,36.1501,-86.7833,6.87,65,0,2.06,US,1673060815
354,nago,26.5881,127.9761,19.14,56,0,6.74,JP,1673060405
355,arlit,18.7369,7.3853,18.38,25,75,1.96,NE,1673060816
356,senneterre,48.3835,-77.2328,-16.86,100,99,1.4,CA,1673060817
357,kanniyakumari,8.0833,77.5667,25.83,68,9,10.5,IN,1673060817
358,quelimane,-17.8786,36.8883,23.0,93,100,1.25,MZ,1673060818
359,tura,25.5198,90.2201,18.94,45,0,0.71,IN,1673060819
360,labuhan,-6.8844,112.2051,28.66,66,64,2.83,ID,1673060819
361,san quintin,30.4833,-115.95,14.66,78,100,4.06,MX,1673060820
362,ust-dzheguta,44.0834,41.9763,-0.1,97,100,6.93,RU,1673060820
363,port augusta,-32.5,137.7667,35.1,14,0,0.71,AU,1673060821
364,basco,20.4487,121.9702,24.05,68,64,7.82,PH,1673060821
365,synya,65.3718,58.0387,-41.11,100,73,1.14,RU,1673060822
366,conceicao do araguaia,-8.2578,-49.2647,22.55,96,100,1.57,BR,1673060823
367,urumqi,43.801,87.6005,-6.47,74,100,2.0,CN,1673060824
368,bedford,52.1346,-0.4663,13.15,78,100,10.56,GB,1673060825
369,kampot,10.6167,104.1833,26.03,66,91,6.9,KH,1673060826
370,tahe,52.3333,124.7333,-17.3,88,98,0.35,CN,1673060826
371,kodinsk,58.6881,99.1844,-11.16,94,100,4.23,RU,1673060827
372,marawi,7.9986,124.2928,20.39,95,100,1.4,PH,1673060536
373,ostrovnoy,68.0531,39.5131,-14.95,97,89,1.9,RU,1673060828
374,cockburn town,21.4612,-71.1419,25.85,77,11,8.17,TC,1673060828
375,wahlern,46.8281,7.3532,4.44,85,100,2.06,CH,1673060829
376,airai,-8.9266,125.4092,22.21,66,66,2.61,TL,1673060830
377,christchurch,-43.5333,172.6333,16.34,79,100,6.69,NZ,1673060705
378,dalvik,65.9702,-18.5286,-3.14,91,99,0.95,IS,1673060831
379,burnie,-41.0667,145.9167,17.82,63,37,5.77,AU,1673060832
380,buedu,8.2803,-10.3719,17.35,53,3,0.23,SL,1673060832
381,kabarnet,0.4919,35.743,11.56,73,3,1.73,KE,1673060833
382,karasuk,53.7377,78.0403,-7.56,96,100,3.98,RU,1673060834
383,cascais,38.6979,-9.4215,15.84,95,64,4.02,PT,1673060834
384,gaozhou,21.9392,110.8461,21.5,41,32,1.31,CN,1673060835
385,santiago del estero,-27.7951,-64.2615,32.22,20,99,6.09,AR,1673060835
386,atar,20.5169,-13.0499,17.25,22,89,4.62,MR,1673060836
387,olinda,-8.0089,-34.8553,26.85,74,75,3.6,BR,1673060836
388,qostanay,53.1667,63.5833,0.16,93,100,11.0,KZ,1673060837
389,muyezerskiy,63.9333,31.65,-17.79,99,96,3.33,RU,1673060837
390,kamaishi,39.2667,141.8833,4.39,57,100,0.63,JP,1673060838
391,kortkeros,61.8106,51.5806,-23.0,100,27,1.58,RU,1673060838
392,gornyye klyuchi,45.25,133.5,-14.73,87,22,1.23,RU,1673060839
393,aksu,41.1231,80.2644,-4.18,45,2,0.7,CN,1673060840
394,saint-augustin,51.226,-58.6502,-12.24,85,88,2.09,CA,1673060841
395,russell,32.3502,-85.1999,8.34,87,0,1.54,US,1673060842
396,marsa matruh,31.3525,27.2453,15.97,73,31,4.56,EG,1673060842
397,grand gaube,-20.0064,57.6608,26.88,69,100,2.68,MU,1673060843
398,mahon,39.8885,4.2658,14.31,77,75,4.12,ES,1673060843
399,haines junction,60.7522,-137.5108,-15.31,99,98,0.43,CA,1673060844
400,brae,60.3964,-1.353,7.01,83,100,7.6,GB,1673060844
401,madawaska,47.3561,-68.3288,-2.38,93,100,3.6,US,1673060845
402,kisangani,0.5167,25.2,20.61,73,69,1.05,CD,1673060846
403,koge,55.458,12.1821,5.74,100,75,1.54,DK,1673060846
404,insch,57.3427,-2.6132,7.73,94,100,6.42,GB,1673060847
405,birao,10.2849,22.7882,17.51,27,48,4.17,CF,1673060847
406,ponta delgada,37.7333,-25.6667,15.4,94,40,0.0,PT,1673060848
407,lagoa,39.05,-27.9833,15.03,81,100,6.34,PT,1673060848
408,qarchi gak,37.04,66.7889,8.01,48,63,5.24,AF,1673060849
409,chicama,-7.8447,-79.1469,16.3,76,99,1.82,PE,1673060850
410,hirschaid,49.8194,10.9908,8.74,92,99,1.6,DE,1673060851
411,soto la marina,23.7667,-98.2167,20.21,91,0,4.25,MX,1673060852
412,roma,43.2128,-75.4557,3.31,92,100,1.54,US,1673060852
413,quarai,-30.3875,-56.4514,24.18,27,0,8.45,BR,1673060853
414,igarka,67.4667,86.5833,-42.25,97,18,3.1,RU,1673060854
415,wasilla,61.5814,-149.4394,-7.61,81,75,4.63,US,1673060854
416,upington,-28.4478,21.2561,17.47,48,0,7.33,ZA,1673060855
